sample_id,class_name,label,standardized_relative_path,quality_status,near_duplicate_group_id,leakage_group_id,holdout_split,cv_fold
no_c9687992fb9b08ab,no,0,data/processed/classification_384/no/no_c9687992fb9b08ab.png,pass,,sample::no_c9687992fb9b08ab,development,1
no_d7c5a293e3a86973,no,0,data/processed/classification_384/no/no_d7c5a293e3a86973.png,pass,,sample::no_d7c5a293e3a86973,development,1
no_e5c87d653a311de0,no,0,data/processed/classification_384/no/no_e5c87d653a311de0.png,pass,,sample::no_e5c87d653a311de0,development,1
no_f0b66b2ec894464a,no,0,data/processed/classification_384/no/no_f0b66b2ec894464a.png,pass,,sample::no_f0b66b2ec894464a,development,1
no_f215d878500f122a,no,0,data/processed/classification_384/no/no_f215d878500f122a.png,pass,,sample::no_f215d878500f122a,development,1
yes_0ec537e621f0f4d0,yes,1,data/processed/classification_384/yes/yes_0ec537e621f0f4d0.png,pass,,sample::yes_0ec537e621f0f4d0,development,1
yes_156ecc9571f09415,yes,1,data/processed/classification_384/yes/yes_156ecc9571f09415.png,pass,,sample::yes_156ecc9571f09415,development,1
yes_234a90d917bf3e4a,yes,1,data/processed/classification_384/yes/yes_234a90d917bf3e4a.png,pass,,sample::yes_234a90d917bf3e4a,development,1
yes_3c09eb1b78644267,yes,1,data/processed/classification_384/yes/yes_3c09eb1b78644267.png,pass,,sample::yes_3c09eb1b78644267,development,1
yes_4701c1a80ad7fb1a,yes,1,data/processed/classification_384/yes/yes_4701c1a80ad7fb1a.png,pass,,sample::yes_4701c1a80ad7fb1a,development,1
yes_599db29f5d7660df,yes,1,data/processed/classification_384/yes/yes_599db29f5d7660df.png,pass,ndg_014,ndg_014,development,1
yes_6d94988b43d92df8,yes,1,data/processed/classification_384/yes/yes_6d94988b43d92df8.png,pass,,sample::yes_6d94988b43d92df8,development,1
yes_7a2b0e735ffe47bf,yes,1,data/processed/classification_384/yes/yes_7a2b0e735ffe47bf.png,pass,,sample::yes_7a2b0e735ffe47bf,development,1
yes_80b55144133cf5dd,yes,1,data/processed/classification_384/yes/yes_80b55144133cf5dd.png,pass,,sample::yes_80b55144133cf5dd,development,1
yes_839960129c2d2391,yes,1,data/processed/classification_384/yes/yes_839960129c2d2391.png,pass,,sample::yes_839960129c2d2391,development,1
yes_86c524a536b573b0,yes,1,data/processed/classification_384/yes/yes_86c524a536b573b0.png,pass,,sample::yes_86c524a536b573b0,development,1
yes_8982b5de68ff551f,yes,1,data/processed/classification_384/yes/yes_8982b5de68ff551f.png,pass,ndg_014,ndg_014,development,1
yes_a4bb0592d8506207,yes,1,data/processed/classification_384/yes/yes_a4bb0592d8506207.png,pass,ndg_016,ndg_016,development,1
yes_a782a621062fc811,yes,1,data/processed/classification_384/yes/yes_a782a621062fc811.png,pass,,sample::yes_a782a621062fc811,development,1
yes_a89a5d4ea98af15a,yes,1,data/processed/classification_384/yes/yes_a89a5d4ea98af15a.png,pass,,sample::yes_a89a5d4ea98af15a,development,1
yes_b0d3c2da527816a2,yes,1,data/processed/classification_384/yes/yes_b0d3c2da527816a2.png,pass,,sample::yes_b0d3c2da527816a2,development,1
yes_bc6792d845a930da,yes,1,data/processed/classification_384/yes/yes_bc6792d845a930da.png,pass,,sample::yes_bc6792d845a930da,development,1
yes_d9f1ab1674e26c52,yes,1,data/processed/classification_384/yes/yes_d9f1ab1674e26c52.png,pass,,sample::yes_d9f1ab1674e26c52,development,1
yes_e1bc386b0834dc6d,yes,1,data/processed/classification_384/yes/yes_e1bc386b0834dc6d.png,pass,,sample::yes_e1bc386b0834dc6d,development,1
yes_f010698cbecf8c85,yes,1,data/processed/classification_384/yes/yes_f010698cbecf8c85.png,pass,,sample::yes_f010698cbecf8c85,development,1
yes_f23446d4245ca399,yes,1,data/processed/classification_384/yes/yes_f23446d4245ca399.png,pass,,sample::yes_f23446d4245ca399,development,1
yes_f71bc49ecd44121e,yes,1,data/processed/classification_384/yes/yes_f71bc49ecd44121e.png,pass,ndg_016,ndg_016,development,1
yes_f81cb097ee26c6ff,yes,1,data/processed/classification_384/yes/yes_f81cb097ee26c6ff.png,pass,,sample::yes_f81cb097ee26c6ff,development,1
yes_ff10ebea461d8636,yes,1,data/processed/classification_384/yes/yes_ff10ebea461d8636.png,pass,,sample::yes_ff10ebea461d8636,development,1
no_0223943a2b28b7ae,no,0,data/processed/classification_384/no/no_0223943a2b28b7ae.png,pass,,sample::no_0223943a2b28b7ae,development,2
no_173a41b949f0af0e,no,0,data/processed/classification_384/no/no_173a41b949f0af0e.png,pass,,sample::no_173a41b949f0af0e,development,2
no_1db0e714ae03db2f,no,0,data/processed/classification_384/no/no_1db0e714ae03db2f.png,pass,ndg_001,ndg_001,development,2
no_3c3bdbcf86cd640b,no,0,data/processed/classification_384/no/no_3c3bdbcf86cd640b.png,pass,,sample::no_3c3bdbcf86cd640b,development,2
no_5e984e1fb53f9917,no,0,data/processed/classification_384/no/no_5e984e1fb53f9917.png,pass,,sample::no_5e984e1fb53f9917,development,2
no_7bd4d5d58606af2e,no,0,data/processed/classification_384/no/no_7bd4d5d58606af2e.png,pass,,sample::no_7bd4d5d58606af2e,development,2
no_7f77955933dac2ac,no,0,data/processed/classification_384/no/no_7f77955933dac2ac.png,pass,ndg_008,ndg_008,development,2
no_91eb18f61d813028,no,0,data/processed/classification_384/no/no_91eb18f61d813028.png,pass,ndg_001,ndg_001,development,2
no_971b1ba3120ce311,no,0,data/processed/classification_384/no/no_971b1ba3120ce311.png,pass,ndg_008,ndg_008,development,2
no_9c54a8ba366d8a98,no,0,data/processed/classification_384/no/no_9c54a8ba366d8a98.png,pass,,sample::no_9c54a8ba366d8a98,development,2
no_b85ca032439975a9,no,0,data/processed/classification_384/no/no_b85ca032439975a9.png,pass,,sample::no_b85ca032439975a9,development,2
no_bbff47f934ea4633,no,0,data/processed/classification_384/no/no_bbff47f934ea4633.png,pass,,sample::no_bbff47f934ea4633,development,2
no_cca6c02571d544a6,no,0,data/processed/classification_384/no/no_cca6c02571d544a6.png,pass,,sample::no_cca6c02571d544a6,development,2
no_e615defa5c0de164,no,0,data/processed/classification_384/no/no_e615defa5c0de164.png,pass,,sample::no_e615defa5c0de164,development,2
no_f1db26614acae672,no,0,data/processed/classification_384/no/no_f1db26614acae672.png,pass,,sample::no_f1db26614acae672,development,2
yes_22acd08bd4f3ff6d,yes,1,data/processed/classification_384/yes/yes_22acd08bd4f3ff6d.png,pass,,sample::yes_22acd08bd4f3ff6d,development,2
yes_279ccefd120d2f24,yes,1,data/processed/classification_384/yes/yes_279ccefd120d2f24.png,pass,,sample::yes_279ccefd120d2f24,development,2
yes_2b8f8b25dbe4563c,yes,1,data/processed/classification_384/yes/yes_2b8f8b25dbe4563c.png,pass,ndg_011,ndg_011,development,2
yes_2e8e5db146be404d,yes,1,data/processed/classification_384/yes/yes_2e8e5db146be404d.png,pass,,sample::yes_2e8e5db146be404d,development,2
yes_2fcfad6defbc064b,yes,1,data/processed/classification_384/yes/yes_2fcfad6defbc064b.png,pass,,sample::yes_2fcfad6defbc064b,development,2
yes_370b20ef332e8a98,yes,1,data/processed/classification_384/yes/yes_370b20ef332e8a98.png,pass,,sample::yes_370b20ef332e8a98,development,2
yes_3823fa4265917a74,yes,1,data/processed/classification_384/yes/yes_3823fa4265917a74.png,pass,,sample::yes_3823fa4265917a74,development,2
yes_3aca2acadb402b7f,yes,1,data/processed/classification_384/yes/yes_3aca2acadb402b7f.png,pass,,sample::yes_3aca2acadb402b7f,development,2
yes_40acbff027d24bd1,yes,1,data/processed/classification_384/yes/yes_40acbff027d24bd1.png,pass,,sample::yes_40acbff027d24bd1,development,2
yes_73c350c62520a00c,yes,1,data/processed/classification_384/yes/yes_73c350c62520a00c.png,pass,,sample::yes_73c350c62520a00c,development,2
yes_7567ef69a11ba556,yes,1,data/processed/classification_384/yes/yes_7567ef69a11ba556.png,pass,,sample::yes_7567ef69a11ba556,development,2
yes_8982ebda6db4292b,yes,1,data/processed/classification_384/yes/yes_8982ebda6db4292b.png,pass,,sample::yes_8982ebda6db4292b,development,2
yes_89f6df9589f65709,yes,1,data/processed/classification_384/yes/yes_89f6df9589f65709.png,pass,,sample::yes_89f6df9589f65709,development,2
yes_8d6c1b4cd984419b,yes,1,data/processed/classification_384/yes/yes_8d6c1b4cd984419b.png,pass,,sample::yes_8d6c1b4cd984419b,development,2
yes_8e50086f244936da,yes,1,data/processed/classification_384/yes/yes_8e50086f244936da.png,pass,,sample::yes_8e50086f244936da,development,2
yes_a2001b87954a57a1,yes,1,data/processed/classification_384/yes/yes_a2001b87954a57a1.png,pass,,sample::yes_a2001b87954a57a1,development,2
yes_ae6296325b0ca772,yes,1,data/processed/classification_384/yes/yes_ae6296325b0ca772.png,pass,,sample::yes_ae6296325b0ca772,development,2
yes_ae84bfb73e4381d4,yes,1,data/processed/classification_384/yes/yes_ae84bfb73e4381d4.png,pass,,sample::yes_ae84bfb73e4381d4,development,2
yes_bab9f575d0033ff2,yes,1,data/processed/classification_384/yes/yes_bab9f575d0033ff2.png,pass,,sample::yes_bab9f575d0033ff2,development,2
yes_d6321c1d40a6e6c1,yes,1,data/processed/classification_384/yes/yes_d6321c1d40a6e6c1.png,pass,,sample::yes_d6321c1d40a6e6c1,development,2
yes_e3cf525b6b42cbe3,yes,1,data/processed/classification_384/yes/yes_e3cf525b6b42cbe3.png,pass,ndg_011,ndg_011,development,2
yes_f9588890598676c0,yes,1,data/processed/classification_384/yes/yes_f9588890598676c0.png,pass,,sample::yes_f9588890598676c0,development,2
yes_fa097654f17421e0,yes,1,data/processed/classification_384/yes/yes_fa097654f17421e0.png,pass,,sample::yes_fa097654f17421e0,development,2
yes_fbaf145857c5f1ba,yes,1,data/processed/classification_384/yes/yes_fbaf145857c5f1ba.png,pass,,sample::yes_fbaf145857c5f1ba,development,2
no_094d704894ade3c7,no,0,data/processed/classification_384/no/no_094d704894ade3c7.png,pass,,sample::no_094d704894ade3c7,development,3
no_0a36fbaeb53f88ba,no,0,data/processed/classification_384/no/no_0a36fbaeb53f88ba.png,pass,,sample::no_0a36fbaeb53f88ba,development,3
no_0e26eb1cc143b940,no,0,data/processed/classification_384/no/no_0e26eb1cc143b940.png,pass,,sample::no_0e26eb1cc143b940,development,3
no_1baef946656a32a6,no,0,data/processed/classification_384/no/no_1baef946656a32a6.png,pass,,sample::no_1baef946656a32a6,development,3
no_79d7586597473b15,no,0,data/processed/classification_384/no/no_79d7586597473b15.png,pass,,sample::no_79d7586597473b15,development,3
no_93572395500b0834,no,0,data/processed/classification_384/no/no_93572395500b0834.png,pass,,sample::no_93572395500b0834,development,3
no_97b98afb01833015,no,0,data/processed/classification_384/no/no_97b98afb01833015.png,pass,,sample::no_97b98afb01833015,development,3
no_9f1843e9d1a4ed47,no,0,data/processed/classification_384/no/no_9f1843e9d1a4ed47.png,pass,,sample::no_9f1843e9d1a4ed47,development,3
no_a638ba6f81ce54a1,no,0,data/processed/classification_384/no/no_a638ba6f81ce54a1.png,pass,ndg_009,ndg_009,development,3
no_bfcce139b2b99288,no,0,data/processed/classification_384/no/no_bfcce139b2b99288.png,pass,ndg_010,ndg_010,development,3
no_cadc69402b71fdaf,no,0,data/processed/classification_384/no/no_cadc69402b71fdaf.png,pass,,sample::no_cadc69402b71fdaf,development,3
no_d65b09e2ad414b8c,no,0,data/processed/classification_384/no/no_d65b09e2ad414b8c.png,pass,,sample::no_d65b09e2ad414b8c,development,3
no_d8534287064d8160,no,0,data/processed/classification_384/no/no_d8534287064d8160.png,pass,,sample::no_d8534287064d8160,development,3
no_e4d9d83f89339366,no,0,data/processed/classification_384/no/no_e4d9d83f89339366.png,pass,ndg_009,ndg_009,development,3
no_fab9adae37e0a120,no,0,data/processed/classification_384/no/no_fab9adae37e0a120.png,pass,ndg_010,ndg_010,development,3
yes_065946b4f95b37ca,yes,1,data/processed/classification_384/yes/yes_065946b4f95b37ca.png,pass,,sample::yes_065946b4f95b37ca,development,3
yes_2760d25b58a26198,yes,1,data/processed/classification_384/yes/yes_2760d25b58a26198.png,pass,,sample::yes_2760d25b58a26198,development,3
yes_29a0dca969e7ab80,yes,1,data/processed/classification_384/yes/yes_29a0dca969e7ab80.png,pass,,sample::yes_29a0dca969e7ab80,development,3
yes_3b6e1cdd42dc80c6,yes,1,data/processed/classification_384/yes/yes_3b6e1cdd42dc80c6.png,pass,,sample::yes_3b6e1cdd42dc80c6,development,3
yes_41875c6939d7ee37,yes,1,data/processed/classification_384/yes/yes_41875c6939d7ee37.png,pass,,sample::yes_41875c6939d7ee37,development,3
yes_46472abac1ff15e3,yes,1,data/processed/classification_384/yes/yes_46472abac1ff15e3.png,pass,,sample::yes_46472abac1ff15e3,development,3
yes_47ef81df4154ea0c,yes,1,data/processed/classification_384/yes/yes_47ef81df4154ea0c.png,pass,ndg_013,ndg_013,development,3
yes_58b1e2bdfe9808ed,yes,1,data/processed/classification_384/yes/yes_58b1e2bdfe9808ed.png,pass,,sample::yes_58b1e2bdfe9808ed,development,3
yes_66147a7d68e48060,yes,1,data/processed/classification_384/yes/yes_66147a7d68e48060.png,pass,,sample::yes_66147a7d68e48060,development,3
yes_72814f8ef18fc32e,yes,1,data/processed/classification_384/yes/yes_72814f8ef18fc32e.png,pass,,sample::yes_72814f8ef18fc32e,development,3
yes_76b82eab2be11768,yes,1,data/processed/classification_384/yes/yes_76b82eab2be11768.png,pass,ndg_013,ndg_013,development,3
yes_7c56acddf6dd78be,yes,1,data/processed/classification_384/yes/yes_7c56acddf6dd78be.png,pass,,sample::yes_7c56acddf6dd78be,development,3
yes_8f1834021d381e2c,yes,1,data/processed/classification_384/yes/yes_8f1834021d381e2c.png,pass,,sample::yes_8f1834021d381e2c,development,3
yes_91d3a5eb7904a869,yes,1,data/processed/classification_384/yes/yes_91d3a5eb7904a869.png,pass,,sample::yes_91d3a5eb7904a869,development,3
yes_a52bf95251106e51,yes,1,data/processed/classification_384/yes/yes_a52bf95251106e51.png,pass,,sample::yes_a52bf95251106e51,development,3
yes_a710082857d3c289,yes,1,data/processed/classification_384/yes/yes_a710082857d3c289.png,pass,,sample::yes_a710082857d3c289,development,3
yes_a811436248b91154,yes,1,data/processed/classification_384/yes/yes_a811436248b91154.png,pass,,sample::yes_a811436248b91154,development,3
yes_abaeb9ec13519757,yes,1,data/processed/classification_384/yes/yes_abaeb9ec13519757.png,pass,,sample::yes_abaeb9ec13519757,development,3
yes_ade22fa7958f1d0a,yes,1,data/processed/classification_384/yes/yes_ade22fa7958f1d0a.png,pass,,sample::yes_ade22fa7958f1d0a,development,3
yes_b26bd519d43545c0,yes,1,data/processed/classification_384/yes/yes_b26bd519d43545c0.png,pass,,sample::yes_b26bd519d43545c0,development,3
yes_bb935cc3d5fcee46,yes,1,data/processed/classification_384/yes/yes_bb935cc3d5fcee46.png,pass,,sample::yes_bb935cc3d5fcee46,development,3
yes_dcc31f03c9b97631,yes,1,data/processed/classification_384/yes/yes_dcc31f03c9b97631.png,pass,,sample::yes_dcc31f03c9b97631,development,3
yes_ded0746adccbdec2,yes,1,data/processed/classification_384/yes/yes_ded0746adccbdec2.png,pass,,sample::yes_ded0746adccbdec2,development,3
yes_e720f125defd3a59,yes,1,data/processed/classification_384/yes/yes_e720f125defd3a59.png,pass,,sample::yes_e720f125defd3a59,development,3
yes_feb7111720d9d553,yes,1,data/processed/classification_384/yes/yes_feb7111720d9d553.png,pass,,sample::yes_feb7111720d9d553,development,3
no_0bc12dee429a9969,no,0,data/processed/classification_384/no/no_0bc12dee429a9969.png,pass,,sample::no_0bc12dee429a9969,development,4
no_16d05c87bffe4fdd,no,0,data/processed/classification_384/no/no_16d05c87bffe4fdd.png,pass,,sample::no_16d05c87bffe4fdd,development,4
no_2d304e407ec526c9,no,0,data/processed/classification_384/no/no_2d304e407ec526c9.png,pass,ndg_002,ndg_002,development,4
no_2db2426323e2d116,no,0,data/processed/classification_384/no/no_2db2426323e2d116.png,pass,,sample::no_2db2426323e2d116,development,4
no_3ceab6190d93957c,no,0,data/processed/classification_384/no/no_3ceab6190d93957c.png,pass,ndg_004,ndg_004,development,4
no_6a028c0cf05b9ab4,no,0,data/processed/classification_384/no/no_6a028c0cf05b9ab4.png,pass,ndg_004,ndg_004,development,4
no_912cec46265a5793,no,0,data/processed/classification_384/no/no_912cec46265a5793.png,pass,,sample::no_912cec46265a5793,development,4
no_96eb6967090f99bc,no,0,data/processed/classification_384/no/no_96eb6967090f99bc.png,pass,ndg_002,ndg_002,development,4
no_ab2d50ea056994dd,no,0,data/processed/classification_384/no/no_ab2d50ea056994dd.png,pass,,sample::no_ab2d50ea056994dd,development,4
no_c3da82d44359f4a1,no,0,data/processed/classification_384/no/no_c3da82d44359f4a1.png,pass,,sample::no_c3da82d44359f4a1,development,4
no_c9d574a467241cb3,no,0,data/processed/classification_384/no/no_c9d574a467241cb3.png,pass,,sample::no_c9d574a467241cb3,development,4
no_cc897565e991fd55,no,0,data/processed/classification_384/no/no_cc897565e991fd55.png,pass,,sample::no_cc897565e991fd55,development,4
no_e89b26e1115b4818,no,0,data/processed/classification_384/no/no_e89b26e1115b4818.png,pass,,sample::no_e89b26e1115b4818,development,4
no_f305c895d86e72b7,no,0,data/processed/classification_384/no/no_f305c895d86e72b7.png,pass,,sample::no_f305c895d86e72b7,development,4
no_f6b9367846473d64,no,0,data/processed/classification_384/no/no_f6b9367846473d64.png,pass,,sample::no_f6b9367846473d64,development,4
yes_00aa87e56bf59778,yes,1,data/processed/classification_384/yes/yes_00aa87e56bf59778.png,pass,,sample::yes_00aa87e56bf59778,development,4
yes_10e6d731d447b374,yes,1,data/processed/classification_384/yes/yes_10e6d731d447b374.png,pass,,sample::yes_10e6d731d447b374,development,4
yes_1a8bfe88bf24a2f6,yes,1,data/processed/classification_384/yes/yes_1a8bfe88bf24a2f6.png,pass,,sample::yes_1a8bfe88bf24a2f6,development,4
yes_1b188f3b3268a61f,yes,1,data/processed/classification_384/yes/yes_1b188f3b3268a61f.png,pass,,sample::yes_1b188f3b3268a61f,development,4
yes_27a43972bf6b6bb0,yes,1,data/processed/classification_384/yes/yes_27a43972bf6b6bb0.png,pass,,sample::yes_27a43972bf6b6bb0,development,4
yes_2e56cee08cdc90d9,yes,1,data/processed/classification_384/yes/yes_2e56cee08cdc90d9.png,pass,,sample::yes_2e56cee08cdc90d9,development,4
yes_2ecddc01c12b1157,yes,1,data/processed/classification_384/yes/yes_2ecddc01c12b1157.png,pass,,sample::yes_2ecddc01c12b1157,development,4
yes_3ea514113ad745b5,yes,1,data/processed/classification_384/yes/yes_3ea514113ad745b5.png,pass,,sample::yes_3ea514113ad745b5,development,4
yes_4b4dac686a5833b9,yes,1,data/processed/classification_384/yes/yes_4b4dac686a5833b9.png,pass,,sample::yes_4b4dac686a5833b9,development,4
yes_6d6496cd067b1f66,yes,1,data/processed/classification_384/yes/yes_6d6496cd067b1f66.png,pass,,sample::yes_6d6496cd067b1f66,development,4
yes_728b7c8bdd193b36,yes,1,data/processed/classification_384/yes/yes_728b7c8bdd193b36.png,pass,ndg_015,ndg_015,development,4
yes_72fca1cc64c1d654,yes,1,data/processed/classification_384/yes/yes_72fca1cc64c1d654.png,pass,,sample::yes_72fca1cc64c1d654,development,4
yes_7d3a903c571970fb,yes,1,data/processed/classification_384/yes/yes_7d3a903c571970fb.png,pass,,sample::yes_7d3a903c571970fb,development,4
yes_8401fd725d100f99,yes,1,data/processed/classification_384/yes/yes_8401fd725d100f99.png,pass,,sample::yes_8401fd725d100f99,development,4
yes_a66911b8e185964e,yes,1,data/processed/classification_384/yes/yes_a66911b8e185964e.png,pass,,sample::yes_a66911b8e185964e,development,4
yes_b3c83703ca0184fa,yes,1,data/processed/classification_384/yes/yes_b3c83703ca0184fa.png,pass,,sample::yes_b3c83703ca0184fa,development,4
yes_b8a8b00299f2da21,yes,1,data/processed/classification_384/yes/yes_b8a8b00299f2da21.png,pass,,sample::yes_b8a8b00299f2da21,development,4
yes_c18a91d081701485,yes,1,data/processed/classification_384/yes/yes_c18a91d081701485.png,pass,,sample::yes_c18a91d081701485,development,4
yes_c462139e87fd54e1,yes,1,data/processed/classification_384/yes/yes_c462139e87fd54e1.png,pass,,sample::yes_c462139e87fd54e1,development,4
yes_c54a901936d151f7,yes,1,data/processed/classification_384/yes/yes_c54a901936d151f7.png,pass,,sample::yes_c54a901936d151f7,development,4
yes_cab80a0ea5bbda93,yes,1,data/processed/classification_384/yes/yes_cab80a0ea5bbda93.png,pass,,sample::yes_cab80a0ea5bbda93,development,4
yes_d192bd91e088d489,yes,1,data/processed/classification_384/yes/yes_d192bd91e088d489.png,pass,ndg_015,ndg_015,development,4
yes_e85cd56865119207,yes,1,data/processed/classification_384/yes/yes_e85cd56865119207.png,pass,,sample::yes_e85cd56865119207,development,4
